WKT,Sistema,Punto_de_m,Nitrato,N,E,CANTON
"POINT (511623 1100885)",LLANO GRANDE DE CARTAGO: SECTOR FUENTES SAN LUIS,NACIENTE SAN LUIS 3,60.80000000000,"1100885","511623",Cartago
"POINT (510255 1099708)",LLANO GRANDE DE CARTAGO: SECTOR CASA VIEJA,NACIENTE CASA VIEJA,52.58000000000,"1099708","510255",Cartago
"POINT (510971 1099213)",LLANO GRANDE DE CARTAGO: SECTOR RETES,NACIENTE RETES,45.41000000000,"1099213","510971",Cartago
"POINT (510971 1099833)",LLANO GRANDE CARTAGO: SECT. BARRIO LOS ANGELES Y PAVAS,NACIENTE CHECHENIA,39.07000000000,"1099833","510971",Cartago
"POINT (512130 1100945)",TIERRA BLANCA: CIUDADELA GRACIANO Y LA TRINIDAD,"MEZCLA DE NACIENTES MIQUELA- VUELTA LEÓN 1,2 Y 3",33.01000000000,"1100945","512130",Cartago
"POINT (509733 1099303)",LLANO GRANDE DE CARTAGO: SECTOR EBAIS VIEJO,NACIENTE FRANCO,19.02000000000,"1099303","509733",Cartago
"POINT (512403 1100863)",TIERRA BLANCA DE CARTAGO,NACIENTE VUELTA LEÓN 1,3.38000000000,"1100863","512403",Cartago
"POINT (512458 1100872)",TIERRA BLANCA DE CARTAGO,NACIENTE VUELTA LEÓN 3,2.01000000000,"1100872","512458",Cartago
"POINT (512268 1096944)",TIERRA BLANCA DE CARTAGO,NACIENTE RODILLAL,59.90500000000,"1096944","512268",Cartago
"POINT (509150 1099183)",LLANO GRANDE DE CARTAGO: SECTOR NACIENTE EMPALOO,NACIENTE EMPALAO,29.58666667000,"1099183","509150",Cartago
"POINT (511199 1099850)",LLANO GRANDE DE CARTAGO: SECTOR NACIENTE PAVAS,NACIENTE PAVAS,19.28500000000,"1099850","511199",Cartago
"POINT (518093 1098482)",SANTA ROSA DE OREAMUNO: SECTOR NACIENTE DE AGUA FRÍA,NACIENTE MANUEL GRANADOS,36.12058824000,"1098482","518093",Oreamuno
"POINT (515140 1100069)",POTRERO CERRADO DE OREAMUNO,NACIENTE MATA DE CAÑA 1,26.30981818000,"1100069","515140",Oreamuno
"POINT (517005 1093541)",CIPRESES DE OREAMUNO,NACIENTE EDWIN COTO,25.69222222000,"1093541","517005",Oreamuno
"POINT (518299 1098599)",SANTA ROSA DE OREAMUNO,NACIENTE AGUA FRÍA,34.37142857000,"1098599","518299",Oreamuno
"POINT (519127 1095223)","CIPRESES, ORATORIO Y CAPIRA DE OREAMUNO",NACIENTE PLANTÓN,27.64179487000,"1095223","519127",Oreamuno
"POINT (515157 1099010)",COT DE OREAMUNO: SECTOR OESTE,NACIENTE SAN JUAN DE CHICÚA 2,27.38824176000,"1099010","515157",Oreamuno
"POINT (515171 1099015)",COT DE OREAMUNO: SECTOR OESTE,NACIENTE SAN JUAN DE CHICÚA 1,27.28401130000,"1099015","515171",Oreamuno
"POINT (517042 1100057)",SAN JUAN DE SAN GERARDO DE SANTA ROSA: CENTRO,NACIENTE BENJAMIN HULET,25.17034483000,"1100057","517042",Oreamuno
"POINT (516705 1099863)",SANTA ROSA DE OREAMUNO: SECT.NACTES BIRRIS Y CARLOS MARTÍNEZ,NACIENTE CARLOS MARTÍNEZ,17.26761905000,"1099863","516705",Oreamuno
"POINT (515819 1100068)",POTRERO CERRADO DE OREAMUNO,Naciente los Quemados,17.96947368000,"1100068","515819",Oreamuno
"POINT (516681 1101278)",POTRERO CERRADO DE OREAMUNO,NACIENTE POZO AMARILLO,9.11083333300,"1101278","516681",Oreamuno
"POINT (516854 1100502)",SAN JUAN DE SAN GERARDO DE SANTA ROSA: CENTRO,NACIENTE MIGUEL BRENES,11.96000000000,"1100502","516854",Oreamuno
"POINT (517913 1100492)",SANTA ROSA DE OREAMUNO: SECTOR NAC. BIRRÍS Y CARLOS MARTÍNEZ,NACIENTE BIRRIS,8.88473684200,"1100492","517913",Oreamuno
"POINT (517902 1100490)",SAN PABLO DE SANTA ROSA DE OREAMUNO: SECTOR NACIENTE BIRRIS1,NACIENTE BIRRIS 1,9.36000000000,"1100490","517902",Oreamuno
"POINT (518068 1100342)",SAN PABLO DE SANTA ROSA DE OREAMUNO: NACIENTE BIRRIS 2,NACIENTE BIRRIS 2,8.53615384600,"1100342","518068",Oreamuno
"POINT (516632 1094111)",CIPRESES DE OREAMUNO: SECTOR NACIENTE CARLOS CALVO,NACIENTE CARLOS CALVO,8.92818181800,"1094111","516632",Oreamuno
"POINT (513708 1092712)",SAN RAFAEL DE OREAMUNO: SECTOR NORESTE,NACIENTE EL AGUACATE,29.41676471000,"1092712","513708",Oreamuno
"POINT (512309 1093553)",LA CHINCHILLA SAN RAFAEL DE OREAMUNO: CENTRO,NACIENTE ARIETE,56.48000000000,"1093553","512309",Oreamuno
"POINT (513992 1092562)",MATA DE MORA SAN RAFAEL DE OREAMUNO,NACIENTE EL SOL,32.66000000000,"1092562","513992",Oreamuno
"POINT (514273 1092587)",SAN RAFAEL DE OREAMUNO: SECTOR NORESTE,NACIENTE LA POZA,28.17000000000,"1092587","514273",Oreamuno
"POINT (514259 1093898)",SAN RAFAEL DE OREAMUNO: SECTOR NORESTE,NACIENTE EL SALTO,31.26111111000,"1093898","514259",Oreamuno
"POINT (513708 1092712)",SAN RAFAEL DE OREAMUNO: SECTOR NORESTE,NACIENTE EL AGUACATE,28.63666667000,"1092712","513708",Oreamuno
"POINT (514177 1092397)",SAN RAFAEL DE OREAMUNO: SECTOR NORESTE,Naciente La Nueva,17.38000000000,"1092397","514177",Oreamuno
"POINT (511315 1093542)",CALLE CHINCHILLA VIEJA DE SAN RAFAEL DE OREAMUNO,NACIENTE REGINA,28.78800000000,"1093542","511315",Oreamuno
"POINT (515140 1100069)",POTRERO CERRADO DE OREAMUNO,NACIENTE MATA DE CAÑA 2,15.72500000000,"1100069","515140",Oreamuno
"POINT (513507 1092595)",SAN RAFAEL DE OREAMUNO: SECTOR NORESTE,NACIENTE MARIO IVANCOVICH,39.25333333000,"1092595","513507",Oreamuno
"POINT (514196 1091963)",HIGUERONES DE OREAMUNO,NACIENTE HIGUERONES,26.56750000000,"1091963","514196",Oreamuno
"POINT (514115 1092500)",SAN RAFAEL DE OREAMUNO: SECTOR NORESTE,NACIENTE LANKASTER,34.85333333000,"1092500","514115",Oreamuno
"POINT (513458 1092461)",CALLE LUCAS DE OREAMUNO,NACIENTE LUCAS,18.62923077000,"1092461","513458",Oreamuno
"POINT (514200 1092618)",YERRIS DE SAN RAFAEL DE OREAMUNO,NACIENTE TURBINA O PASO ANCHO,43.73437500000,"1092618","514200",Oreamuno
"POINT (513770 1092719)",SAN RAFAEL DE OREAMUNO: SECTOR NORESTE,NACIENTE VILLALTA,25.71000000000,"1092719","513770",Oreamuno
"POINT (513892.7 1089783.6)",PARAÍSO DE CARTAGO: CENTRO,NACIENTE MERO,72.51000000000,"1089784","513893",Paraiso
"POINT (513863.3 1089655.6)",PARAÍSO DE CARTAGO: CENTRO,NACIENTE GUAYABAL,67.81000000000,"1089656","513863",Paraiso
"POINT (513190.9 1089639.2)",LOS LAGOS PIRCEM,NAC. HELECHOS DE CUERO,48.57000000000,"1089639","513191",Paraiso
"POINT (515477.7 1092995.3)","PARAÍSO: INVU, LA SOLEDAD, LA LAGUNA Y CALLE A OROSI",NACIENTE BOQUERON 1,19.70000000000,"1092995","515478",Paraiso
"POINT (515996.0 1092295.6)",BIRRISITO DE PARAÍSO,NACIENTE CAPIRA,21.43000000000,"1092296","515996",Paraiso
"POINT (518023.6 1090378.2)",PARRUÁS DE PARAÍSO,NACIENTE PARRUÁS,6.40000000000,"1090378","518024",Paraiso
"POINT (524086.1 1086245.4)",PEÑAS BLANCAS DE CACHÍ: SECTOR NACIENTE NICANOR,NACIENTE NICANOR,1.39000000000,"1086245","524086",Paraiso
"POINT (515252 1092695)",HUERTAS DE BIRRISITO,MEZCLA DE NACIENTES HUERTAS 1 Y 2,12.65000000000,"1092695","515252",Paraiso
"POINT (522038.8 1085796.2)",CACHÍ DE PARAÍSO: SECTOR NACIENTE CHILAMATE,NACIENTE CHILAMATE,1.34000000000,"1085796","522039",Paraiso
"POINT (521966.6 1085711.3)",CIUDADELA LOS ROBLES DE CACHÍ,NACIENTE CHILAMATE 2,1.27000000000,"1085711","521967",Paraiso
"POINT (521965.3 1085706.0)",CACHÍ DE PARAÍSO: SECTOR NACIENTE CHILAMATE,NACIENTE CHILAMATE 1,1.38000000000,"1085706","521965",Paraiso
"POINT (523258.0 1086546.5)",PEÑAS BLANCAS DE CACHÍ: SECTOR NACIENTE JORGE OBANDO,NACIENTE JORGE OBANDO,1.29000000000,"1086546","523258",Paraiso
"POINT (520135.8 1085086.6)",LOAIZA DE CACHI,NACIENTE LOAIZA,0.88000000000,"1085087","520136",Paraiso
"POINT (521299.8 1084497.9)",VOLIO DE CACHI,MEZCLA DE NACIENTES VOLIO,1.20000000000,"1084498","521300",Paraiso
"POINT (521874 1099165)",BUENAVISTA DE PACAYAS: SECTOR NORTE,NACIENTE BUENAVISTA 1 (H. AGUILAR 1),7.04000000000,"1099165","521874",Alvarado
"POINT (521793 1099158)",BUENAVISTA DE PACAYAS: SECTOR NORTE,NACIENTE BUENAVISTA 2 (H. AGUILAR 2),7.41000000000,"1099158","521793",Alvarado
"POINT (520542 1095901)",SISTEMA 7: PACAYAS BUENOS AIRES,NACIENTE MAINOR,24.98000000000,"1095901","520542",Alvarado
"POINT (520758 1099113)",SISTEMA 3 PACAYAS PATALILLO BARRIO FÁTIMA,NACIENTE LA ISLA,25.72750000000,"1099113","520758",Alvarado
"POINT (518940 1095429)",SISTEMA 4 PACAYAS LOS ÁNGELES,LOS ANGELES 1 (Jose Castro),8.02916700000,"1095429","518940",Alvarado
"POINT (520961 1096703)",SISTEMA 6 LOURDES VICENTE SERRANO,NACIENTE VICENTE SERRANO,27.10454500000,"1096703","520961",Alvarado
"POINT (522693 1097813)",SISTEMA 1 CAPELLADES CENTRO,NACIENTE ABRAHAM 1,5.19800000000,"1097813","522693",Alvarado
"POINT (519244 1096497)",SISTEMA 10 PACAYAS LLANO GRANDE 3,NACIENTE ANIBAL BARQUERO,4.53900000000,"1096497","519244",Alvarado
"POINT (520961 1098007)",SISTEMA 1 PACAYAS CENTRO,NACIENTE BARBACOAS,13.86000000000,"1098007","520961",Alvarado
"POINT (520480 1097758)",SISTEMA 15 LOURDES SECTOR LOS BRENES,NACIENTE ZENÓN LEANDRO,21.17285700000,"1097758","520480",Alvarado
"POINT (524452 1097175)",SISTEMA 3 CAPELLADES CALLEJÓN (LOURDES),NACIENTE CALLEJÓN 1,4.92818200000,"1097175","524452",Alvarado
"POINT (522558 1097569)",SISTEMA 1 CAPELLADES CENTRO,NACIENTE EL SALTO,3.85000000000,"1097569","522558",Alvarado
"POINT (518940 1095429)",SISTEMA 4 PACAYAS LOS ÁNGELES,NACIENTE LOS ANGELES (JOSÉ CASTRO,8.07636400000,"1095429","518940",Alvarado
"POINT (518933 1096848)",SISTEMA 11 PACAYAS LLANO GRANDE 4,NACIENTE LOS GÓMEZ,10.30000000000,"1096848","518933",Alvarado
"POINT (520213 1097511)",SISTEMA 1 PACAYAS CENTRO,NACIENTE MARÍA CRISTINA,13.59166700000,"1097511","520213",Alvarado
"POINT (518757 1097462)",SISTEMA 8 Y 9 PACAYAS LLANO GRANDE 1 Y 2,NACIENTE SAN PABLO 1,2.69666700000,"1097462","518757",Alvarado
"POINT (520131 1095591)",SISTEMA 3 PACAYAS PATALILLO BARRIO FÁTIMA,NACIENTE NORE GÓMEZ,22.43125000000,"1095591","520131",Alvarado
"POINT (519453 1097111)",SISTEMA 1 PACAYAS CENTRO,NACIENTE PACAYÓN (RUBEN),3.52900000000,"1097111","519453",Alvarado
"POINT (520045 1098033)",SISTEMA 12 LOURDES LA CAPILLA,NACIENTE MARTÍN MONTERO,14.67333300000,"1098033","520045",Alvarado
